text,intent
affordable,price_filter
under 20000,price_filter
below 50000,price_filter
under 1 lac,price_filter
less than 1 lakh,price_filter
price under 80000,price_filter
budget 50000,price_filter
max budget 90000,price_filter
below 10 lac,price_filter
sasta phone,price_filter
sasta laptop,price_filter
cheap laptop,price_filter
under pkr 50000,price_filter
budget under 60000,price_filter
kam price,price_filter
saste mein,price_filter
low budget,price_filter
economical,price_filter
under 30000,price_filter
